@T,temporal_additional,,,,,,,,,,,,,,,,,,,,,,,,
name,temporal_additional.csv,,,,,,,,,,,,,,,,,,,,,,,,
description,additional temporal parameters,,,,,,,,,,,,,,,,,,,,,,,,
context-type,temporal,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
unit,m3/s,,,,,,,,,,,,,,,,,,,,,,,,
missing_val,-9999,,,,,,,,,,,,,,,,,,,,,,,,
date_start,1/2/2021 0:00,,,,,,,,,,,,,,,,,,,,,,,,
date_end,12/31/2022 0:00,,,,,,,,,,,,,,,,,,,,,,,,
date_format,dd.MM.yyyy ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
@H,date,enableSubDaily,B_ME,B_MM,B_MW,B_UE,B_UW,MRMS_12,MRMS_13,MRMS_17,MRMS_18,,MRMS_11,,MRMS_16,,,MRMS_19,MRMS_21,MRMS_22,MRMS_23,MRMS_27,MRMS_28,MRMS_32,MRMS_33
,9/3/2021 11:00,,0.8,0,0.2,0,0.3,0.853016682,0.624416676,0.681566683,0.597252801,,0.732719459,,0.861483334,,,0.524110216,0.880886136,0.867127779,0.672041698,0.871361129,0.47554446,0.394052795,0.612422246
,9/3/2021 12:00,,1,0,1,0,0.3,0.865716686,0.859719485,1.280936152,0.801158351,,0.983191688,,0.906286131,,,0.572323167,0.944386147,1.374775025,1.254830594,1.377597244,1.20791117,1.106663931,1.218494499
,9/3/2021 13:00,,0.1,0,0,0,0,0.009525001,0,0,0,,0.002822222,,0.003527778,,,0,0.016933337,0.004233333,0,0.004233333,0,0,0
,9/3/2021 14:00,,1.1,0,0.3,0,0.6,0.27375557,0.244122232,0.485422233,0.255411117,,0.430388899,,0.51858336,,,0.894644469,0.539044468,0.73942226,0.495300014,0.740833363,0.905933363,1.01600004,1.361722283
,9/3/2021 15:00,,0,0,0.3,0,0.3,0.198261127,0.236361134,0.307269454,0.243769454,,0.227188894,,0.230716662,,,0.328083352,0.259997234,0.328083347,0.297038899,0.330905567,0.374650016,0.486480569,0.438855573
,9/3/2021 16:00,,0,0,0,0,0,0.08396112,0.093838892,0.120297232,0.101952785,,0.11571112,,0.120650009,,,0.127705569,0.129469456,0.129116668,0.107950009,0.130527777,0.158750004,0.186619459,0.170744457
,9/3/2021 17:00,,0,0,0,0,0.3,0,0,0,0,,0,,0,,,0,0,0,0,0,0,0,0
,9/6/2021 12:00,,0,0,0,0.2,0,0,0,0,0,,0,,0,,,0,0,0,0,0,0,0,0
,9/6/2021 13:00,,0,1.5,0,0.4,0,0,0,0,0,,0,,0,,,0,0,0,0,0,0,0,0
,9/11/2021 13:00,,0,0,0,0,0,0,0,0,0,,0.02398889,,0.018344447,,,0,0,0,0,0,0,0,0
